2022-09-12 00:09:158 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:178 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (683d5ad84f0c70ef37dd05bd5a9ebacc)] -> link text: Log in]
2022-09-12 00:09:224 INFO  LoginPage :24 - Getting text from : [[ChromeDriver: chrome on WINDOWS (683d5ad84f0c70ef37dd05bd5a9ebacc)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 00:09:245 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:584 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (c673ae6de540aca10c72483c8e7c6713)] -> link text: Log in]
2022-09-12 00:09:639 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:861 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (9caf22b5b3e54d7b901685cac5d9e181)] -> link text: Log in]
2022-09-12 00:09:901 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:856 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (efd9948fa9ea780550c65420ad9e76a1)] -> link text: Log in]
2022-09-12 00:09:892 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:591 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (4962134a18c3552dacf5891490db161f)] -> link text: Log in]
2022-09-12 00:09:634 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:51 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:511 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (8c82673d0cf5a737d376e2b6b0c0e5c5)] -> link text: Log in]
2022-09-12 00:09:557 INFO  LoginPage :24 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8c82673d0cf5a737d376e2b6b0c0e5c5)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 00:09:701 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:150 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (96b6b1299bc5b7bcfc08e72f6a5d6193)] -> link text: Log in]
2022-09-12 00:09:347 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:647 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (df148770fdd7857a6775d136059f2b96)] -> link text: Log in]
2022-09-12 00:09:677 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (df148770fdd7857a6775d136059f2b96)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 00:09:687 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:120 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (66caba22ed90abdc7aa517722fe021c3)] -> link text: Log in]
2022-09-12 00:09:761 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:539 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (1c919dcae01dae9d6df928f9217e2ee1)] -> link text: Log in]
2022-09-12 00:09:61 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:935 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (7f52e7f66bdf62e10e256965894cf3df)] -> link text: Log in]
2022-09-12 00:09:432 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:579 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (07736adeec7a162c8d8af8b8b164d012)] -> link text: Log in]
2022-09-12 00:09:94 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:287 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (cf29096dd7217a6fb42100d0b94e54f0)] -> link text: Log in]
2022-09-12 00:09:805 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:615 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:906 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (e638df6ccbce855bd2afe3bef203a6ca)] -> link text: Log in]
2022-09-12 00:09:217 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:449 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (b8aca50a9b6cb35238089626486b9230)] -> link text: Log in]
2022-09-12 00:09:201 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:479 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (36d8f5c493626ea8c89984fb81009462)] -> link text: Log in]
2022-09-12 00:09:354 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:643 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (3ee5e7720b8727943c21c18a28faf939)] -> link text: Log in]
2022-09-12 00:09:375 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:327 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (4eb9051c8e2e653338b14685a2dc2fcf)] -> link text: Log in]
2022-09-12 00:09:969 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:290 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (114b3d8711c8f07ec6fb9f050998a8fa)] -> link text: Log in]
2022-09-12 00:09:776 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:423 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (bc13160945f9c3313b6db30ace598420)] -> link text: Log in]
2022-09-12 00:09:452 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (bc13160945f9c3313b6db30ace598420)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 00:09:841 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 00:09:143 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (741b8d4a4700b2b97d126c6ad6a006a0)] -> link text: Log in]
2022-09-12 00:09:418 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 01:09:85 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (23f0b443955a8efc83ca4d6f904f3fee)] -> link text: Log in]
2022-09-12 01:09:674 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 01:09:911 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (f9227a20f7952f41c7a4a7c9d1a98b34)] -> link text: Log in]
2022-09-12 01:09:396 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 01:09:224 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (ea073da41e5dbac9493bb1aa0d22cd6e)] -> link text: Log in]
2022-09-12 01:09:729 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 01:09:615 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (14e2c2961aa90c5ae84a6106609ec93b)] -> link text: Log in]
2022-09-12 01:09:02 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 01:09:42 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (c62dd2367dfe0e90c528fc0ab425a53e)] -> link text: Log in]
2022-09-12 01:09:72 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c62dd2367dfe0e90c528fc0ab425a53e)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 19:09:639 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 19:09:197 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (fdbb4441cb8e3149f0b779b9dba0d8fb)] -> link text: Log in]
2022-09-12 19:09:674 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 19:09:392 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (7067c8f9d68226104945890b74742bfa)] -> link text: Log in]
2022-09-12 19:09:589 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 19:09:597 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (1deca3c3da5751e709b981d78bf62165)] -> link text: Log in]
2022-09-12 19:09:920 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 19:09:553 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (a40ed4738f00a3ece33f8b087ed9eb67)] -> link text: Log in]
2022-09-12 19:09:258 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 19:09:160 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (62448dd4e66d8f3a43d9712dd872c581)] -> link text: Log in]
